OBS;WAGE;HOURS;IQ;KWW;EDUC;MEDUC;FEDUC;EXPER;TENURE;AGE;MARRIED;BLACK;SOUTH;URBAN;SIBS;BRTHORD
398;1212;40;129;33;14;8;9;9;3;32;0;0;0;1;6;7
399;950;40;98;40;12;12;12;11;6;30;1;0;0;1;3;4
400;938;44;108;41;12;8;NA;19;20;38;1;0;0;1;0;1
401;1250;40;114;37;16;2;8;8;8;30;1;0;0;1;5;3
402;586;60;111;37;18;12;11;6;10;34;1;0;0;0;3;1
403;693;53;101;29;12;12;12;7;6;28;1;0;0;0;1;2
404;562;40;99;25;12;12;12;18;12;34;0;0;0;0;1;1
405;375;60;75;24;12;12;8;12;5;30;0;0;0;0;4;1
406;673;40;91;29;12;6;NA;7;11;38;1;0;0;0;0;1
407;654;50;113;38;17;12;10;1;13;33;1;0;0;0;1;1
408;692;50;120;34;12;8;NA;17;7;35;1;0;0;0;3;4
409;1111;40;98;32;14;12;15;10;1;29;1;0;0;1;3;1
410;1368;45;107;31;16;16;16;11;1;33;1;0;1;1;2;2
411;1282;45;121;39;18;12;12;7;13;32;1;0;0;1;2;2
412;1250;60;115;40;11;NA;NA;19;4;38;1;0;0;1;1;2
413;1346;40;134;42;15;12;10;15;7;35;1;0;0;1;2;1
414;1424;50;96;47;17;NA;NA;15;12;37;1;0;0;1;2;3
415;854;48;120;38;16;12;16;8;5;29;0;0;0;1;2;3
416;888;50;105;36;15;12;10;9;5;32;0;0;0;1;2;2
417;1161;50;121;40;12;10;NA;5;10;34;1;0;0;1;5;6
418;583;58;113;29;16;12;9;9;0;30;1;0;0;1;2;2
419;1260;45;106;37;12;12;13;5;3;29;1;0;0;1;2;1
420;947;48;104;41;18;9;12;8;13;35;1;0;0;0;3;2
421;1850;40;80;23;11;10;10;14;15;33;1;0;0;1;3;NA
422;1575;40;117;28;12;10;10;13;2;30;1;0;0;1;3;3
423;758;38;126;42;16;12;12;10;8;28;0;0;0;1;2;2
424;1442;40;112;42;12;10;8;19;15;36;1;0;0;1;3;2
425;489;55;104;47;13;NA;NA;20;4;38;1;0;1;1;2;2
426;1126;40;116;33;12;9;10;5;0;31;1;1;0;1;9;5
427;1000;40;70;18;12;8;8;12;5;32;0;1;0;1;6;NA
428;500;70;83;20;12;6;6;13;11;32;1;0;0;1;5;1
429;1200;50;84;13;12;6;6;13;9;32;1;0;0;1;5;2
430;565;45;82;30;10;NA;NA;15;3;33;1;0;0;0;4;4
431;1920;40;109;32;12;12;8;13;2;31;1;0;0;0;0;1
432;684;45;111;25;14;12;12;7;7;29;1;0;0;1;4;1
433;774;40;94;33;12;12;7;20;4;37;1;0;0;0;1;1
434;233;60;96;32;16;12;8;7;4;30;1;0;0;0;3;NA
435;975;40;101;33;13;12;13;12;10;30;1;0;0;0;3;3
436;1366;40;90;35;12;12;12;13;1;30;1;0;0;1;3;3
437;2137;40;120;48;16;12;12;16;3;37;1;0;1;1;3;3
438;700;40;120;38;16;12;12;10;1;29;1;0;1;1;1;1
439;1200;40;108;29;12;8;NA;16;11;33;1;0;0;1;3;2
440;1161;40;99;43;13;12;8;16;18;36;1;0;0;1;0;1
441;729;60;80;31;11;12;6;16;15;34;1;0;0;1;6;1
442;750;45;93;45;11;10;5;17;2;36;1;0;0;1;1;2
443;1026;45;85;46;12;NA;NA;4;16;38;1;0;0;1;1;2
444;1111;45;118;43;15;11;10;11;3;32;1;0;0;1;3;1
445;625;50;115;31;12;12;NA;12;8;31;1;0;0;1;2;3
446;1200;42;119;28;16;10;11;11;5;30;1;0;0;1;5;1
447;1541;40;94;39;12;12;11;8;1;32;1;0;0;1;8;3
448;1154;40;109;42;16;13;16;12;9;34;1;0;0;1;0;1
449;310;40;104;37;13;14;8;10;0;33;0;0;0;0;2;1
450;610;50;89;21;12;7;6;14;4;30;1;0;0;0;1;2
451;1749;43;101;28;12;12;8;16;17;36;1;0;0;0;2;2
452;1000;40;96;34;16;12;7;9;1;31;0;0;1;1;4;2
453;350;40;109;48;12;9;7;14;1;36;1;0;0;0;1;1
454;765;45;94;38;12;4;6;17;18;37;1;0;0;0;10;6
455;790;40;115;34;12;6;5;15;2;34;1;0;0;0;6;5
456;818;47;92;41;12;8;4;16;17;38;1;0;0;0;12;1
457;477;60;71;32;9;11;5;12;1;30;1;0;0;0;4;2
458;938;50;130;39;14;12;11;15;1;33;1;0;0;0;3;1
459;2099;55;119;38;16;12;12;10;4;32;1;0;0;1;0;1
460;350;40;74;24;12;10;13;14;3;32;1;0;0;1;4;2
461;940;48;104;25;12;12;8;13;0;32;1;1;0;1;7;2
462;1202;40;124;23;15;10;NA;11;8;28;1;0;0;1;2;2
463;450;40;94;29;15;12;NA;9;4;31;1;0;0;0;1;1
464;1058;40;120;44;16;12;4;16;13;37;1;0;0;0;5;4
465;1000;40;96;40;11;8;9;15;15;37;1;0;0;1;5;5
466;318;40;67;35;12;7;5;16;5;36;1;1;1;1;6;NA
467;556;40;69;26;11;8;8;13;9;34;0;1;0;1;3;NA
468;958;60;98;42;12;12;11;11;9;28;1;0;0;1;0;1
469;995;40;92;23;9;7;4;22;13;38;1;1;0;1;7;3
470;1600;50;109;44;14;9;10;16;5;33;1;0;0;0;2;NA
471;606;45;100;39;18;12;12;6;5;30;0;0;0;0;1;NA
472;511;45;101;25;12;11;12;13;1;30;1;0;0;1;4;2
473;1411;45;111;40;16;12;9;11;12;32;1;0;1;1;1;1
474;1346;40;106;38;16;8;14;15;11;37;1;0;0;1;1;1
475;1522;46;102;37;12;12;10;15;16;37;1;0;0;0;3;2
476;1075;40;115;28;14;12;10;9;10;30;1;0;0;0;2;1
477;1200;50;99;37;12;10;8;11;11;28;1;0;0;1;5;4
478;1377;37;118;48;16;11;10;15;1;36;1;0;0;1;2;2
479;874;55;132;37;13;13;16;8;2;33;1;0;0;0;2;1
480;625;40;108;26;13;12;16;11;9;30;1;0;0;1;3;NA
481;1250;32;98;40;12;14;10;17;2;33;1;0;0;1;0;1
482;1082;40;111;44;13;8;11;20;12;36;1;0;0;1;4;2
483;693;40;79;36;11;8;8;18;3;38;1;0;0;0;3;2
484;727;55;97;29;12;12;11;11;11;31;1;0;0;0;3;1
485;615;50;99;49;15;12;14;16;15;38;1;0;0;0;2;3
486;913;40;101;33;16;12;NA;5;7;31;1;0;0;1;2;3
487;884;46;120;45;17;12;18;4;10;36;1;0;0;0;2;1
488;698;43;97;33;12;8;8;10;4;29;1;0;0;1;2;3
489;800;55;106;34;12;8;12;17;18;36;1;0;0;0;3;3
490;812;40;131;44;16;12;12;9;3;30;0;0;0;0;1;1
491;1000;40;93;32;11;12;8;16;14;34;1;0;0;1;1;NA
492;549;49;79;23;12;8;8;11;3;32;0;0;0;0;4;2
493;1300;35;100;38;12;11;NA;13;15;31;1;0;0;1;4;2
494;923;50;107;30;16;9;8;9;8;33;1;0;0;1;6;4
495;1539;40;112;42;12;NA;10;15;15;32;1;0;0;0;3;1
496;721;40;105;22;12;12;10;11;9;30;1;0;0;0;3;2
497;815;40;114;25;12;12;10;15;14;31;1;0;0;0;2;1
498;600;80;116;36;12;8;NA;20;2;38;1;0;0;0;10;10
499;1100;40;104;41;12;11;13;18;7;37;1;0;0;1;2;3
500;1058;40;85;48;12;9;12;18;19;35;1;0;0;1;2;1
501;962;40;93;46;12;9;12;15;1;30;1;0;0;1;2;2
502;433;50;100;40;12;8;7;5;9;37;1;0;0;0;2;2
503;940;40;71;20;11;NA;NA;9;2;29;1;0;0;0;2;3
504;1417;38;88;36;16;12;12;9;10;32;0;0;0;1;2;1
505;1000;65;93;32;12;12;8;11;9;29;1;0;0;1;7;1
506;500;40;98;26;13;12;8;14;5;32;1;0;0;0;3;4
507;800;50;110;35;14;12;10;8;5;28;1;0;0;1;3;4
508;766;40;109;31;12;NA;6;17;18;35;1;0;0;0;4;3
509;750;43;94;38;14;11;12;12;10;33;1;0;0;0;1;1
510;550;40;77;36;12;8;8;15;2;37;1;0;0;0;6;3
511;795;52;89;35;11;NA;NA;16;4;34;1;0;0;1;6;1
512;723;40;102;44;12;12;6;12;10;30;1;0;0;1;10;6
513;1039;40;113;49;14;16;14;12;8;34;1;0;0;1;1;2
514;200;55;103;38;10;12;5;11;15;32;1;0;1;1;3;2
515;400;40;90;36;10;8;NA;12;1;32;1;1;0;1;5;3
516;575;40;96;31;11;12;7;17;1;35;1;0;1;1;2;1
517;850;40;97;35;11;12;6;16;5;37;1;0;1;1;1;1
518;508;50;87;35;12;10;NA;16;1;32;1;1;1;1;2;1
519;1162;45;89;39;12;15;NA;11;4;37;1;0;1;1;3;3
520;1199;43;70;28;13;8;NA;13;5;30;1;1;1;1;3;1
521;1270;40;104;34;16;16;17;8;4;31;1;0;1;1;3;4
522;350;45;116;36;16;11;12;5;3;33;1;0;1;1;2;2
523;963;40;85;32;14;7;NA;9;9;28;1;1;1;1;5;1
524;1463;45;104;47;15;12;12;14;11;37;1;0;1;1;3;4
525;802;40;99;26;12;9;12;13;12;29;1;1;1;1;8;6
526;642;45;93;18;12;6;6;12;7;30;1;1;1;1;1;2
527;751;40;114;37;13;12;10;9;2;28;1;0;1;1;2;2
528;488;40;103;40;17;12;16;5;3;31;1;0;1;1;1;NA
529;1400;40;92;34;12;6;2;15;5;36;1;0;1;1;2;1
530;940;45;98;41;18;8;12;10;7;31;1;0;1;1;2;2
531;866;40;114;48;13;12;NA;15;16;37;1;0;1;1;3;1
532;675;40;77;42;12;12;6;20;4;38;1;1;1;1;5;2
533;375;40;89;24;14;13;NA;9;3;30;1;1;1;1;3;1
534;325;40;93;44;14;16;NA;10;1;33;1;1;1;1;1;NA
535;346;40;110;37;12;12;5;16;17;38;1;0;1;1;2;NA
536;1442;40;132;39;17;8;12;8;1;33;1;0;1;1;3;1
537;560;49;112;37;16;8;2;13;2;32;1;0;1;0;3;1
538;550;56;99;42;12;12;12;17;11;36;1;0;1;1;1;2
539;950;44;96;26;16;10;NA;8;10;32;1;1;1;1;1;2
540;684;45;106;45;13;12;14;16;2;38;1;0;1;1;1;1
541;1322;40;128;43;16;18;NA;7;1;33;1;0;1;1;0;1
542;1634;40;95;48;12;NA;3;18;3;38;1;0;1;1;3;3
543;417;40;80;30;12;8;7;8;0;30;0;0;1;1;3;4
544;472;45;71;24;11;6;6;9;0;32;1;0;1;1;13;6
545;666;50;89;28;12;9;NA;16;1;34;1;1;1;1;6;1
546;1679;55;127;45;18;12;16;10;3;32;1;0;1;1;1;2
547;1039;40;114;43;16;8;8;1;9;31;0;0;1;1;6;5
548;1250;40;102;30;13;7;NA;13;11;30;1;0;1;1;5;6
549;760;40;88;34;12;12;7;12;15;31;1;0;1;1;2;1
550;1154;42;88;32;12;12;7;14;12;29;1;0;1;1;2;2
551;1602;60;110;45;15;14;12;14;1;37;1;0;0;1;5;1
552;1442;40;110;40;13;7;9;13;13;29;1;1;1;1;1;2
553;865;40;130;39;16;8;12;5;3;30;1;0;0;1;4;2
554;705;50;100;44;12;NA;NA;15;12;36;1;0;1;1;1;2
555;1000;40;101;36;12;12;NA;16;1;35;1;0;1;1;1;1
556;852;44;89;36;10;9;NA;13;9;32;1;0;1;1;6;7
557;770;40;80;25;12;12;12;16;14;35;1;0;0;1;1;2
558;1000;40;72;20;12;12;12;16;9;34;1;0;0;1;3;4
559;1329;55;115;56;18;12;12;10;5;36;1;0;0;1;1;1
560;1682;40;115;48;16;12;17;10;4;37;1;0;1;1;1;2
561;577;55;108;47;16;8;8;4;0;31;1;1;1;1;2;2
562;685;40;93;27;12;8;3;17;7;38;0;0;1;1;6;6
563;577;40;111;37;16;18;18;8;8;29;0;1;1;1;1;1
564;1040;40;101;38;12;11;12;19;9;38;1;1;1;1;6;1
565;1250;40;92;42;16;12;10;10;11;32;0;0;1;1;1;1
566;600;40;115;40;13;5;NA;7;7;28;0;0;1;1;4;5
567;480;40;76;29;12;11;10;17;3;35;0;1;1;1;8;5
568;1000;40;93;26;11;12;12;11;0;29;1;0;1;1;5;3
569;988;48;91;39;12;8;8;15;15;36;1;0;1;1;1;2
570;478;45;90;35;10;9;9;19;10;34;1;0;1;1;2;1
571;440;40;84;23;12;9;4;11;2;30;1;1;1;1;5;3
572;485;40;120;43;12;NA;NA;11;1;30;1;1;1;1;6;6
573;705;40;89;32;9;NA;NA;19;0;36;1;1;1;1;0;1
574;1550;40;104;47;12;9;10;16;1;34;1;0;1;0;8;4
575;960;40;107;23;12;6;9;11;9;29;1;1;1;1;11;2
576;1000;40;100;42;12;12;12;16;14;32;1;0;1;1;2;3
577;625;40;129;40;18;15;15;4;5;36;1;0;1;0;3;1
578;1346;40;112;39;16;12;16;14;14;35;1;0;0;1;0;1
579;961;40;76;17;12;NA;8;13;13;31;0;1;0;1;13;5
580;479;40;97;45;12;NA;NA;15;1;38;1;0;1;0;3;4
581;1201;50;98;38;11;11;2;17;16;36;1;0;1;0;4;5
582;1346;45;60;34;16;NA;NA;8;2;31;1;0;1;1;2;3
583;1122;35;132;45;18;12;7;13;8;32;1;0;1;1;2;3
584;543;45;90;31;14;6;NA;5;7;38;1;1;1;1;1;2
585;450;40;63;26;11;7;NA;12;4;31;1;1;1;1;7;2
586;507;55;110;36;14;13;16;10;4;32;1;0;1;1;2;2
587;547;60;88;38;11;NA;NA;17;5;34;1;0;1;1;4;5
588;586;56;98;41;11;NA;6;18;16;35;1;0;1;1;2;2
589;462;55;61;24;12;8;3;6;4;29;1;1;1;0;9;NA
590;705;40;76;32;12;NA;NA;13;8;37;1;1;0;1;5;NA
591;1566;40;127;44;12;11;NA;7;1;29;1;0;0;1;3;2
592;1634;40;94;39;13;8;8;18;18;36;1;0;1;1;2;2
593;1282;45;97;48;16;16;16;4;1;32;1;0;0;1;11;3
594;556;40;127;44;16;12;12;6;2;31;1;1;1;1;2;1
595;1200;40;109;42;15;11;12;7;8;33;1;0;0;1;2;1
596;855;45;89;21;12;3;3;6;6;31;1;0;1;0;4;3
597;1053;40;90;33;12;11;11;18;7;37;1;0;1;0;1;1
598;1000;48;105;39;12;12;7;11;4;28;1;0;1;0;0;1
599;900;55;100;27;12;8;NA;18;5;34;0;0;0;1;2;2
600;1602;45;111;40;16;16;12;10;10;31;1;0;1;0;1;NA
601;508;50;125;44;17;16;13;9;2;31;1;0;1;1;3;1
602;1500;60;124;20;16;12;10;6;6;29;1;0;1;0;2;NA
603;1682;50;107;41;14;12;12;15;9;32;1;0;1;1;0;1
604;750;40;110;45;13;12;16;13;1;35;1;0;1;1;2;NA
605;843;40;102;32;14;16;16;8;7;29;1;0;1;0;1;1
606;409;40;93;26;12;NA;NA;17;18;38;0;0;1;0;0;1
607;1004;40;81;36;12;12;NA;17;15;34;1;0;1;0;1;1
608;650;40;99;36;12;12;10;13;10;30;1;0;1;0;1;2
609;808;40;93;26;12;NA;NA;17;9;37;1;1;1;0;4;1
610;2137;45;102;35;13;12;12;8;2;30;1;0;1;0;0;1
611;761;48;95;44;12;12;5;14;21;38;1;0;1;1;1;1
612;769;40;98;37;16;11;8;8;3;35;0;0;1;1;0;1
613;345;40;84;28;12;NA;NA;7;8;31;1;1;1;1;2;2
614;495;40;88;30;12;NA;7;6;10;31;1;0;1;1;2;1
615;987;38;109;41;16;4;NA;9;3;31;1;0;1;1;3;4
616;2500;60;82;41;12;8;5;21;1;38;1;0;1;0;3;3
617;1098;45;105;22;14;12;NA;6;1;32;0;0;1;1;1;2
618;1212;40;95;36;12;12;8;6;16;38;1;0;1;0;3;1
619;577;40;92;33;15;10;7;8;1;28;1;1;1;1;1;2
620;390;59;74;26;15;7;6;10;3;30;1;1;1;1;3;3
621;1500;40;123;43;16;12;14;9;12;32;1;0;1;1;1;1
622;583;80;86;24;12;12;12;9;1;30;1;0;1;1;2;2
623;460;40;92;22;11;NA;NA;16;1;36;1;0;1;1;5;6
624;945;40;87;41;12;8;NA;12;13;38;1;0;1;1;2;2
625;1442;60;117;39;16;12;10;9;3;31;1;0;1;1;1;2
626;1333;45;112;50;16;12;4;14;8;38;1;0;1;1;1;2
627;1500;37;119;41;15;12;18;8;5;33;0;0;0;1;1;1
628;1333;45;103;30;16;NA;NA;7;1;34;1;0;0;1;3;1
629;700;40;74;29;12;9;NA;16;4;36;1;1;1;1;3;NA
630;973;36;81;33;13;6;9;11;5;32;1;0;1;1;0;1
631;2162;40;124;48;18;10;10;10;8;32;1;0;1;1;1;1
632;797;41;89;38;12;7;8;10;7;36;1;0;1;0;1;2
633;400;40;88;34;12;7;6;14;1;32;1;1;1;1;7;7
634;1015;40;67;31;12;9;5;15;11;32;1;1;0;1;3;2
635;1744;43;106;41;16;12;16;8;9;29;1;0;1;1;1;1
636;630;40;103;30;15;11;5;14;2;32;1;0;1;0;0;1
637;445;40;91;40;12;6;8;11;4;32;1;0;1;0;0;1
638;660;42;101;34;16;12;12;12;9;31;1;0;1;1;0;1
639;779;40;85;30;12;12;NA;14;7;37;1;1;1;1;7;4
640;377;40;83;32;12;12;12;9;1;36;0;0;1;1;1;1
641;560;44;70;34;12;8;NA;16;11;35;1;1;1;1;2;1
642;1122;60;102;54;17;12;11;7;13;32;1;0;1;1;2;2
643;453;50;94;34;12;7;7;9;2;30;1;0;1;0;6;4
644;1386;40;97;38;10;12;8;17;9;37;1;0;1;1;1;2
645;1539;40;115;38;17;12;16;7;9;31;1;0;1;1;2;1
646;1154;40;117;38;16;17;18;11;12;35;1;0;1;1;5;5
647;962;50;105;45;14;8;4;15;2;37;1;0;1;1;3;4
648;722;55;113;36;16;8;NA;8;1;38;0;0;1;1;1;2
649;480;40;83;37;12;10;11;9;3;37;1;0;1;1;4;3
650;808;50;101;44;18;17;12;8;9;38;1;0;1;0;3;2
651;1442;40;113;36;13;12;12;14;8;36;1;0;1;1;2;1
652;1091;50;88;31;13;12;NA;13;4;37;1;0;0;1;4;1
653;350;40;93;41;12;12;NA;16;0;33;0;1;1;1;1;1
654;500;40;83;39;12;7;NA;18;11;36;1;1;1;1;0;1
655;1026;45;113;27;16;16;14;9;13;30;1;0;1;1;2;2
656;577;40;106;43;17;13;16;11;7;33;0;1;1;1;3;2
657;1333;60;106;38;15;12;12;5;1;30;1;0;1;1;2;2
658;915;55;114;36;12;10;NA;17;9;37;1;0;0;1;1;NA
659;1105;40;119;32;16;11;10;9;10;30;0;0;1;1;5;1
660;910;40;82;26;14;9;3;5;5;30;1;1;1;1;10;NA
661;1000;40;89;40;12;1;4;17;8;38;1;0;1;1;7;7
662;1160;40;74;18;12;3;4;14;1;33;1;1;1;1;9;6
663;1001;34;77;22;12;3;4;12;3;29;1;1;1;1;9;8
664;713;40;75;25;12;NA;NA;5;12;36;1;1;1;1;7;4
665;929;40;97;28;13;12;12;12;5;30;1;0;1;1;2;1
666;400;50;68;35;12;6;2;4;9;31;1;1;1;1;6;1
667;1241;40;83;51;13;12;12;9;10;33;1;0;1;1;2;3
668;1065;40;97;40;12;12;NA;21;10;36;1;0;1;1;1;1
669;403;45;98;37;12;12;12;5;3;30;1;0;1;1;2;NA
670;940;45;102;30;13;NA;NA;15;12;30;1;1;1;1;2;2
671;812;40;81;20;10;8;3;17;13;34;1;1;1;1;2;2
672;700;20;85;27;10;6;10;13;0;35;1;1;1;1;3;NA
673;575;40;86;20;10;NA;NA;12;6;33;1;1;1;1;8;NA
674;450;40;79;23;10;12;12;20;5;36;1;1;1;1;7;6
675;621;43;84;24;12;8;6;14;10;31;1;0;1;0;4;3
676;441;38;74;24;12;8;6;12;11;30;1;0;1;0;4;4
677;625;40;92;25;16;NA;NA;6;9;33;1;1;1;0;11;1
678;726;45;93;32;12;6;NA;16;5;36;1;0;1;0;5;2
679;500;40;69;18;9;6;NA;21;13;38;1;1;1;1;8;6
680;1000;44;113;41;17;17;18;8;2;34;1;0;1;1;4;1
681;393;48;92;37;12;8;7;15;16;38;1;0;1;1;1;1
682;600;40;127;44;12;9;12;8;3;28;0;0;1;0;2;2
683;962;50;109;44;12;6;NA;21;12;37;1;0;1;0;0;1
684;962;40;97;42;12;10;8;15;4;34;1;0;1;0;5;1
685;865;40;66;30;11;0;10;10;7;30;1;0;0;1;14;4
686;1154;50;109;46;16;16;14;10;3;35;1;0;1;1;2;1
687;1386;42;109;43;16;4;14;10;11;34;1;0;1;0;1;1
688;732;40;104;36;12;NA;NA;10;7;36;1;0;1;1;1;2
689;865;40;85;44;13;8;8;4;9;34;1;0;1;1;3;3
690;700;40;81;26;12;8;4;13;13;31;1;0;1;0;5;6
691;975;40;87;12;9;5;4;20;10;37;1;0;1;0;3;NA
692;1300;40;78;40;13;12;12;12;3;33;1;0;1;1;2;3
693;900;40;54;37;14;12;12;12;3;31;1;0;1;1;2;1
694;829;40;98;33;12;8;8;15;15;36;1;0;0;1;4;5
695;1000;40;98;34;12;12;NA;17;13;36;1;0;1;1;3;NA
696;827;40;105;29;16;16;12;7;8;30;1;0;0;1;2;1
697;500;44;87;25;13;12;NA;5;2;31;1;0;1;1;7;NA
698;1155;40;117;25;13;12;12;9;1;28;1;0;0;1;3;2
699;950;55;85;30;15;12;12;8;3;29;0;0;0;1;2;NA
700;700;40;82;35;13;8;NA;10;4;30;1;0;0;1;4;5
701;1710;45;114;39;18;12;NA;7;6;32;1;0;0;1;1;1
702;533;30;65;21;12;11;12;5;1;32;0;1;0;1;5;1
703;2004;48;105;48;18;12;12;10;0;34;1;0;0;1;2;1
704;890;60;92;20;14;7;7;9;8;32;1;0;0;1;1;2
705;3078;30;107;23;13;12;12;11;4;29;1;0;0;1;2;2
706;1539;40;111;41;17;12;16;10;13;37;1;0;0;1;3;2
707;508;40;73;38;12;NA;NA;1;1;31;1;1;0;1;1;NA
708;1354;40;119;49;17;16;16;13;9;35;0;0;0;0;2;1
709;1143;35;97;40;12;12;12;21;8;38;1;0;0;1;5;1
710;962;40;110;34;12;10;10;16;8;33;1;0;0;1;2;1
711;1250;44;96;32;12;12;12;19;20;38;1;0;0;1;2;1
712;990;40;67;23;12;8;8;16;3;34;1;1;0;1;2;1
713;905;40;102;31;12;12;12;17;4;37;1;0;0;0;5;5
714;926;55;64;22;12;0;2;18;0;38;1;0;0;1;4;5
715;1559;40;103;32;12;8;8;17;10;34;1;0;0;1;3;4
716;1312;40;118;39;10;12;8;14;4;32;1;0;0;1;0;1
717;923;40;118;36;14;7;NA;8;16;35;1;1;0;1;5;1
718;879;40;118;41;18;13;13;1;9;31;1;0;0;1;1;2
719;800;25;75;37;13;12;10;14;1;38;1;0;1;1;0;1
720;1049;50;112;45;14;12;10;6;10;32;1;0;0;0;3;3
721;550;40;95;20;12;12;10;4;1;30;0;0;0;0;3;4
722;1190;40;119;38;17;12;14;4;2;34;1;0;0;1;0;1
723;583;48;94;35;14;12;12;10;6;37;1;0;0;0;2;1
724;1200;40;103;27;14;6;7;5;2;30;1;0;0;1;1;1
725;797;55;90;36;16;14;17;11;5;33;1;0;0;1;5;2
726;1371;40;128;50;18;16;12;8;13;36;1;0;0;0;1;2
727;360;55;110;44;13;12;8;11;1;38;0;1;0;1;4;NA
728;1270;40;84;40;12;12;12;11;12;30;1;0;0;1;2;2
729;1832;40;97;38;12;8;12;16;1;36;1;0;0;1;1;2
730;909;40;102;34;12;12;7;14;5;33;1;0;0;1;3;3
731;1746;40;131;41;18;12;12;9;10;33;1;0;0;1;7;3
732;520;40;126;23;16;12;12;8;1;30;1;0;0;1;7;5
733;808;40;107;32;16;12;12;6;7;29;1;0;0;0;7;6
734;2137;45;108;45;16;12;NA;11;2;36;1;0;0;1;2;3
735;692;50;92;49;15;8;8;9;3;38;1;1;0;1;0;1
736;931;80;108;40;16;12;12;4;1;36;1;0;0;1;4;2
737;812;45;115;46;16;12;8;11;3;34;1;0;0;1;1;2
738;866;40;111;44;14;12;12;16;14;35;1;0;0;1;1;1
739;1442;40;115;47;12;12;12;14;9;36;1;0;0;1;7;5
740;500;40;101;31;14;11;6;12;0;32;1;0;0;0;2;2
741;1384;50;114;48;18;12;13;12;2;37;1;0;0;1;1;1
742;528;55;116;40;18;12;12;5;9;30;1;0;0;1;4;5
743;881;40;90;41;12;12;NA;4;14;36;1;0;0;0;2;3
744;1026;45;125;33;12;14;17;11;11;28;1;0;0;1;3;1
745;1212;40;98;26;12;12;10;11;12;28;0;0;0;1;4;NA
746;1620;38;111;42;15;10;NA;8;5;29;1;0;0;0;1;2
747;1843;48;109;38;16;12;NA;11;2;32;1;0;0;1;3;2
748;1602;60;124;36;16;12;12;12;2;37;1;0;0;1;1;2
749;1000;40;121;35;13;8;14;6;1;33;1;0;0;1;2;2
750;737;48;103;37;12;10;NA;7;4;30;1;0;0;1;4;4
751;1699;40;96;19;12;12;12;10;1;29;0;0;1;1;2;3
752;1699;40;100;40;12;12;8;11;9;33;1;0;0;1;1;2
753;1025;48;104;30;14;NA;12;6;5;32;1;0;0;1;2;3
754;1107;40;112;38;12;11;12;12;5;38;1;0;0;1;5;3
755;625;40;73;24;11;12;12;1;1;31;1;0;0;1;3;4
756;720;50;101;39;13;11;11;1;7;29;1;0;0;1;4;2
757;855;40;99;44;12;12;12;19;10;36;1;0;0;1;1;2
758;1250;40;95;23;12;12;12;12;2;32;1;0;0;1;2;2
759;1130;40;109;40;18;18;15;4;13;38;1;0;0;0;1;2
760;900;40;110;35;12;13;13;6;1;28;0;0;0;1;1;NA
761;1924;50;98;49;17;4;NA;6;7;38;1;0;0;1;1;1
762;962;40;112;46;15;12;16;8;2;37;1;0;0;1;2;1
763;1874;48;64;37;11;NA;NA;22;3;38;1;1;0;1;7;NA
764;1573;55;90;28;12;11;8;5;3;30;1;0;0;1;4;3
765;940;45;102;46;14;12;10;11;7;36;1;0;0;1;1;2
766;900;40;119;39;16;12;12;8;9;30;1;0;0;0;1;2
767;882;44;96;34;12;8;10;15;13;31;1;0;0;0;6;3
768;1710;45;118;40;18;12;12;12;12;38;1;0;0;1;1;1
769;1260;45;79;39;12;9;8;19;15;37;1;0;0;0;3;2
770;751;40;96;42;12;10;8;9;7;38;1;0;0;0;1;1
771;1097;50;80;27;11;12;11;12;12;28;1;0;0;0;5;1
772;1001;48;137;36;13;12;NA;11;11;33;1;0;0;0;5;6
773;1154;40;116;42;15;12;9;11;12;34;0;0;0;0;2;1
774;1000;43;69;31;12;12;8;15;16;35;1;0;0;1;4;4
775;1250;40;78;36;12;6;2;16;3;33;1;0;0;1;9;NA
776;857;65;99;41;12;8;8;18;3;38;1;0;1;1;2;1
777;1211;27;92;33;12;16;12;13;3;31;1;0;0;1;3;2
778;937;32;113;23;16;16;12;12;7;29;1;0;0;1;3;NA
779;904;50;98;29;13;12;NA;7;1;33;1;0;0;1;5;NA
780;872;45;115;30;15;12;18;7;4;29;1;0;0;1;3;1
781;1200;40;96;26;9;NA;8;18;0;34;1;0;0;1;4;3
782;1261;40;117;41;17;6;8;1;9;35;1;0;0;1;4;1
783;950;40;96;38;12;8;2;14;2;35;1;0;0;1;1;1
784;115;50;108;46;12;10;11;9;3;29;1;0;0;1;5;6
785;673;40;92;34;17;16;12;6;4;31;1;0;0;1;5;5
786;1084;45;95;38;15;16;16;17;10;37;1;0;0;1;1;2
787;1058;40;94;40;14;15;9;13;14;34;1;0;0;1;0;1
788;800;40;115;38;12;7;8;20;12;38;1;0;0;0;7;6
789;369;40;117;36;18;NA;NA;11;1;31;0;0;0;0;3;4
790;1924;40;105;42;16;12;NA;14;13;36;1;0;0;0;0;1
791;855;40;109;36;12;7;6;17;15;36;1;0;0;0;3;1
792;864;40;87;38;12;12;12;15;6;31;1;0;0;0;1;1
793;1092;44;110;34;16;13;13;15;13;36;1;0;0;1;4;4
794;1025;40;110;30;16;10;12;9;4;30;1;0;0;0;3;NA
795;850;35;109;32;12;17;NA;11;2;31;1;0;0;0;2;2
796;673;40;85;21;12;12;12;17;10;35;1;0;0;0;2;2
